sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score.1,v_decile_score,two_year_recid,days_custody,days_c_jail,days_r_jail
0,26,2,0,8,0,2,6,382.0,0,0,0,8,8,0,13,13,0
1,33,2,0,5,0,0,4,1.0,0,1,0,5,2,1,12,12,2
0,24,2,0,2,0,0,1,0.0,0,1,0,2,3,1,4,2,4
0,34,1,2,9,1,3,21,0.0,1,1,0,9,6,1,179,34,179
0,29,2,0,2,0,0,0,1.0,0,0,0,2,2,0,1,1,0
1,21,1,0,8,0,0,2,1.0,1,0,0,8,8,0,2,81,0
0,51,1,0,1,0,0,2,1.0,0,0,0,1,1,0,2,2,0
0,29,2,0,2,0,0,2,1.0,0,1,0,2,2,1,2,2,2
1,51,1,0,2,0,0,7,1.0,1,0,0,2,2,0,9,3,0
0,29,1,0,7,0,0,0,0.0,1,1,0,7,2,1,29,1,37
0,25,2,0,10,0,0,9,1.0,0,1,1,10,9,1,10,8,10
0,35,1,1,8,0,4,13,1.0,1,1,1,8,3,1,2,2,2
0,49,2,0,1,0,0,0,0.0,0,0,0,1,1,0,1,1,0
0,34,1,0,3,0,0,4,59.0,0,1,0,3,2,1,52,52,0
0,29,1,0,4,0,0,0,1.0,1,0,0,4,3,0,1,1,0
0,29,2,0,2,0,0,1,24.0,1,1,0,2,2,1,1,1,1
1,28,0,0,2,0,0,0,1.0,1,0,0,2,2,0,2,2,0
0,48,2,0,6,0,0,20,562.0,1,1,0,6,4,1,1941,12,0
1,63,3,0,1,0,0,1,219.0,1,0,0,1,1,0,9,9,0
0,31,1,0,5,0,1,15,1.0,1,1,0,5,7,0,137,137,0
0,24,1,0,4,0,0,2,1.0,1,1,0,4,4,1,3,3,1
0,30,3,0,7,0,0,0,0.0,0,0,0,7,3,0,24,24,0
0,49,1,0,1,0,0,4,1.0,0,0,0,1,1,0,2,2,0
0,53,2,0,5,0,0,8,13.0,1,0,0,5,2,0,14,14,0
0,35,1,0,3,0,0,5,1.0,1,0,0,3,2,0,2,2,0
0,63,1,0,7,0,0,10,906.0,0,1,0,7,5,1,37,37,0
0,27,1,1,10,1,2,15,1.0,1,1,0,10,9,1,6,2,6
0,38,2,0,2,0,0,4,1.0,0,1,0,2,2,1,3,3,0
0,22,1,0,4,0,1,1,1.0,1,1,0,4,6,1,2,2,0
0,22,1,0,10,1,2,2,114.0,1,1,0,10,9,1,125,125,90
0,29,1,0,9,0,0,4,1.0,1,1,0,9,5,1,99,20,0
0,62,3,0,1,0,0,0,1.0,0,0,0,1,1,0,1,1,0
0,27,1,0,6,1,0,6,0.0,1,1,0,6,3,1,2,31,2
0,33,0,0,1,0,0,0,1.0,0,0,0,1,1,0,2,2,0
1,56,1,0,1,0,0,0,1.0,0,0,0,1,1,0,4,4,0
0,45,3,0,1,0,0,6,1.0,1,1,1,1,1,1,243,243,0
0,22,3,0,4,0,0,1,1.0,1,0,0,4,6,0,2,2,0
0,39,1,0,4,0,0,1,1.0,0,0,0,4,2,0,6,6,0
0,29,1,0,6,0,0,5,0.0,1,1,0,6,3,1,2,2,2
0,27,2,0,6,0,1,1,1.0,1,1,0,6,3,1,59,15,0
0,40,1,0,2,0,0,2,15.0,1,0,0,2,1,0,4,4,0
0,22,1,0,3,0,0,1,1.0,0,1,0,3,3,1,22,18,0
0,22,2,0,8,0,0,0,1.0,1,0,0,8,6,0,22,59,0
1,26,1,0,4,0,0,1,1.0,1,1,1,4,3,1,59,3,59
0,27,2,0,7,0,0,1,44.0,1,1,1,7,8,1,138,20,19
0,32,1,0,2,0,0,0,1.0,1,0,0,2,1,0,2,2,0
0,41,1,0,2,0,0,1,5185.0,0,0,0,2,2,0,3,3,0
0,30,1,0,10,0,0,8,1.0,0,1,1,10,9,1,2,2,2
0,50,0,0,1,0,0,0,1.0,1,1,0,1,2,1,3,2,3
0,25,1,1,10,6,1,14,1.0,1,1,1,10,10,1,20,8,20
0,20,0,0,5,0,0,0,1.0,1,1,1,5,8,1,424,2,424
0,22,1,1,9,0,0,2,0.0,1,1,0,9,10,1,31,31,1
0,23,1,0,7,0,1,2,192.0,0,1,0,7,8,1,2,2,0
1,35,1,0,2,0,0,1,1.0,0,0,0,2,1,0,2,2,0
0,36,1,0,7,0,0,9,1.0,1,1,0,7,6,1,5,5,1
0,26,2,0,8,0,0,7,1.0,1,1,0,8,4,1,11,1,2
0,21,0,0,6,0,0,1,1.0,1,1,0,6,6,1,99,5,99
0,25,2,0,8,0,0,9,1.0,1,1,1,8,9,1,3,2,0
0,71,1,0,7,0,0,12,804.0,0,0,0,7,3,0,0,0,0
1,20,2,0,7,0,0,0,1.0,1,0,0,7,8,0,2,2,0
0,39,2,0,1,0,0,2,3.0,1,1,0,1,1,1,23,1,23
0,66,2,0,1,0,0,3,64.0,1,0,0,1,1,0,31,31,0
1,54,2,0,1,0,0,0,1.0,0,0,0,1,1,0,1,1,0
1,44,3,0,1,0,0,0,2.0,0,0,0,1,1,0,2,2,0
0,19,1,0,4,0,0,1,10.0,0,1,1,4,7,1,7,10,7
0,24,1,0,2,0,0,1,137.0,1,0,0,2,3,0,1,138,0
0,30,1,0,2,0,0,1,1.0,1,0,0,2,2,0,2,2,0
1,39,2,0,1,0,0,0,1.0,1,1,1,1,1,1,3,3,1
0,24,2,0,6,1,2,8,0.0,1,1,0,6,6,1,13,13,1
0,30,2,0,4,0,0,0,1.0,1,0,0,4,2,0,28,7,0
0,31,2,0,5,0,0,0,1.0,0,0,0,5,2,0,40,40,0
1,39,2,0,4,0,0,1,1.0,1,0,0,4,3,0,6,108,0
0,59,1,0,9,0,0,14,265.0,1,1,1,9,4,1,111,111,111
0,43,2,0,1,0,0,1,30.0,1,0,0,1,1,0,2,2,0
0,21,1,0,9,0,0,3,1.0,1,1,0,9,6,1,303,7,303
0,38,2,0,4,0,0,5,1.0,0,1,0,4,3,1,2,4,2
0,34,2,0,5,0,0,0,0.0,1,0,0,5,5,0,70,16,0
0,33,1,0,5,0,0,5,1.0,1,1,0,5,2,1,1,1,0
0,37,1,0,2,0,0,3,0.0,1,0,0,2,1,0,8,2,0
0,42,2,0,2,0,0,1,1.0,1,1,0,2,2,1,2,2,37
0,41,1,0,9,1,0,10,0.0,1,1,0,9,7,1,42,177,42
0,22,1,0,4,0,0,0,1.0,1,1,0,4,7,1,1,2,1
0,33,1,0,8,12,2,28,1.0,1,1,0,8,5,1,2,3,2
0,31,1,0,7,0,0,1,1.0,0,0,0,7,8,0,2,2,0
1,30,0,0,2,0,0,1,1.0,1,0,0,2,2,0,9,2,0
0,31,2,0,10,0,0,13,0.0,1,1,1,10,7,1,472,472,0
0,27,1,0,9,0,0,3,1.0,1,1,0,9,4,1,2,2,0
0,56,1,0,9,0,0,8,79.0,1,0,0,9,3,0,81,81,0
0,52,2,0,9,0,0,3,2.0,0,0,0,9,6,0,2,2,0
0,33,1,0,10,0,0,19,1.0,1,1,0,10,7,1,33,2,0
1,64,2,0,1,0,0,2,48.0,0,0,0,1,1,0,1,1,0
0,22,2,0,6,0,0,4,36.0,1,1,0,6,8,1,20,15,0
0,42,2,0,3,0,0,6,5.0,1,0,0,3,1,0,87,1,0
1,25,2,0,4,0,0,2,1.0,1,0,0,4,5,0,22,4,0
0,30,2,0,2,0,0,1,20.0,0,0,0,2,2,0,5,5,0
0,28,2,0,1,0,0,2,161.0,1,0,0,1,2,0,0,0,0
1,37,0,0,2,0,0,2,222.0,0,0,0,2,1,0,3,3,0
0,28,2,0,2,0,0,0,1.0,0,1,0,2,3,1,1,2,2
1,24,1,0,2,0,0,0,1.0,0,0,0,2,3,0,3,3,0
1,29,2,0,4,1,0,10,1.0,1,1,0,4,2,1,39,8,39
0,44,2,0,2,0,0,2,1.0,0,1,0,2,1,1,1,1,0
1,30,3,0,5,0,0,4,36.0,1,1,1,5,5,1,242,1,33
0,32,1,0,7,0,0,3,1.0,1,1,0,7,3,1,9,9,0
0,31,2,0,3,0,0,2,16.0,0,1,0,3,3,1,16,16,0
0,31,1,0,2,0,0,1,1.0,0,1,0,2,3,0,2,2,0
0,59,2,0,2,0,0,1,1.0,1,1,0,2,1,1,56,2,8
1,45,2,0,4,0,0,4,375.0,1,0,0,4,3,0,0,0,0
1,20,1,1,10,0,0,1,0.0,1,0,0,10,10,0,10,4,0
1,43,2,0,1,0,0,0,0.0,0,0,0,1,1,0,2,2,0
0,38,1,1,8,1,0,9,1.0,1,1,0,8,4,1,2,14,2
0,32,1,0,6,0,0,11,2.0,1,1,1,6,5,1,37,2,37
0,33,1,0,5,0,0,8,1.0,0,1,1,5,2,1,1,2,0
1,31,1,0,3,0,0,0,1.0,1,1,0,3,2,1,36,3,38
1,33,1,0,9,0,0,7,1.0,1,1,0,9,9,1,20,27,20
0,27,1,0,9,0,0,2,1.0,1,1,0,9,8,1,1,2,1
1,20,1,0,6,0,0,0,1.0,1,0,0,6,8,0,1,1,0
1,26,2,0,6,0,0,0,2.0,0,0,0,6,3,0,2,2,0
1,61,1,0,1,0,0,1,1.0,1,1,0,1,1,1,2,2,0
0,52,0,0,7,0,0,13,1.0,1,1,0,7,6,1,1,3,1
0,63,3,0,1,0,0,1,26.0,1,0,0,1,1,0,16,16,0
1,32,1,0,10,0,0,4,7.0,1,1,1,10,9,1,119,8,119
0,29,3,0,4,0,0,1,1.0,1,0,0,4,4,0,2,2,0
1,46,0,0,2,0,0,1,72.0,1,0,0,2,1,0,0,0,0
1,26,1,0,4,0,0,2,1.0,0,1,0,4,4,1,2,2,0
0,55,1,0,1,0,0,3,52.0,0,0,0,1,1,0,2,2,0
0,39,2,1,4,0,0,1,1672.0,0,0,0,4,4,0,5,5,0
1,30,2,0,7,0,0,3,1.0,1,1,0,7,4,1,531,531,12
0,30,1,0,7,0,0,1,1.0,1,0,0,7,8,0,4,71,0
0,48,2,0,2,0,0,2,1.0,0,0,0,2,1,0,2,2,0
0,22,1,0,2,0,0,1,1.0,1,0,0,2,4,0,189,2,0
0,46,2,0,1,0,0,6,31.0,1,1,0,1,1,1,24,24,24
1,49,2,0,6,0,0,6,56.0,1,0,0,6,2,0,6,6,0
0,31,2,0,5,0,0,0,1.0,1,0,0,5,4,0,51,3,0
0,25,1,0,2,0,0,1,1.0,0,1,0,2,3,1,5,3,5
0,23,3,0,3,0,0,0,2.0,1,0,0,3,5,0,1,1,0
1,32,1,0,7,0,0,5,1.0,1,0,0,7,3,0,2,2,0
0,52,3,0,1,0,0,2,1.0,0,0,0,1,1,0,36,4,0
0,62,1,0,4,0,0,8,1.0,1,0,0,4,1,0,17,17,0
1,37,2,0,10,0,0,6,111.0,1,0,0,10,4,0,189,107,0
0,55,2,0,1,0,0,1,45.0,1,0,0,1,1,0,19,19,0
0,31,3,0,9,0,0,8,61.0,1,1,0,9,7,1,118,118,88
0,28,1,0,6,0,0,6,1.0,0,1,1,6,6,1,17,2,0
0,54,3,0,1,0,0,2,1.0,1,0,0,1,1,0,189,189,0
0,58,3,0,2,0,0,0,1.0,1,0,0,2,1,0,78,2,0
0,78,2,0,1,0,0,1,1.0,0,1,0,1,1,1,2,2,0
0,56,2,0,1,0,0,0,1.0,1,0,0,1,1,0,2,2,0
0,24,0,0,2,0,0,0,1.0,1,0,0,2,4,0,3,3,0
0,38,1,2,8,2,1,22,35.0,1,1,0,8,5,1,29,35,14
0,22,1,0,5,0,0,1,1.0,1,1,0,5,5,1,1,1,0
0,47,1,0,8,0,0,23,1.0,0,1,0,8,1,1,35,2,35
0,23,1,0,2,0,0,0,1.0,0,1,0,2,4,1,10,2,10
0,57,3,0,1,0,0,1,0.0,1,0,0,1,1,0,21,21,0
1,38,2,0,5,0,0,2,35.0,1,1,0,5,2,1,9,2,9
0,66,1,0,1,0,0,3,10.0,1,1,1,1,1,0,3,3,0
0,45,2,0,4,0,0,8,0.0,0,1,0,4,3,1,12,72,0
0,32,1,0,10,0,0,13,1.0,1,1,0,10,7,1,98,98,98
0,37,1,0,9,0,0,2,0.0,0,1,1,9,8,1,33,1,33
0,39,2,0,4,0,0,0,0.0,1,1,0,4,4,1,2,2,42
0,26,1,0,9,0,0,9,1.0,1,1,0,9,8,1,107,80,107
0,45,2,0,3,0,0,2,1.0,1,0,0,3,4,0,360,360,0
0,23,1,0,3,0,0,0,1.0,1,1,1,3,4,1,194,2,194
0,34,1,0,2,0,0,2,1.0,0,1,0,2,1,0,24,27,24
1,23,1,0,4,0,0,1,1.0,0,0,0,4,4,0,2,2,0
0,36,0,0,3,0,0,2,1.0,0,1,0,3,1,1,78,4,78
0,50,2,0,1,0,0,1,4.0,1,0,0,1,1,0,2,3,0
1,37,2,0,3,0,0,0,1.0,0,0,0,3,1,0,1,1,0
0,44,2,0,4,0,0,4,0.0,0,0,0,4,4,0,2,2,0
1,35,1,0,9,1,0,23,1.0,1,1,0,9,9,1,3,3,0
0,24,0,0,5,0,0,5,1.0,1,1,0,5,4,1,2,2,0
0,26,1,0,10,0,0,2,1.0,1,1,0,10,8,1,19,2,22
0,27,1,0,2,0,0,0,1.0,0,0,0,2,3,0,4,4,0
1,28,1,0,8,0,0,0,1.0,1,0,0,8,6,0,30,30,0
0,43,2,0,5,0,0,11,56.0,1,1,1,5,3,1,385,122,122
1,28,2,0,9,0,0,7,1.0,1,1,0,9,6,1,1505,2,0
0,38,1,0,1,0,0,2,1.0,1,0,0,1,1,0,1,2,0
0,27,2,0,4,0,0,2,36.0,0,0,0,4,3,0,37,37,0
1,28,1,0,9,0,0,1,1.0,1,0,0,9,7,0,80,40,0
0,56,2,0,1,0,0,7,1.0,1,1,0,1,1,1,2,2,0
0,38,1,0,9,0,0,15,1.0,1,0,0,9,3,0,3,3,0
0,28,1,0,5,0,0,2,2147.0,0,0,0,5,4,0,2,2,0
0,45,1,0,6,0,0,3,23.0,1,0,0,6,4,0,220,220,0
0,28,3,0,2,0,0,0,5.0,0,0,0,2,3,0,0,0,0
0,61,2,0,1,0,0,1,34.0,1,0,0,1,1,0,2,2,0
1,51,2,0,1,0,0,0,1.0,0,1,1,1,1,1,68,2,68
0,51,2,0,2,0,0,0,1.0,0,0,0,2,2,0,2,2,0
0,36,0,0,1,0,0,1,1.0,0,1,0,1,1,1,1,2,1
0,48,1,0,1,0,0,0,1.0,1,0,0,1,1,0,2,2,0
0,37,2,0,3,0,0,4,0.0,1,1,0,3,4,1,3,3,22
1,30,1,0,7,0,0,2,1.0,1,0,0,7,4,0,4,4,0
1,41,1,0,6,0,0,5,1.0,0,0,0,6,3,0,1,1,0
0,27,1,0,10,0,0,11,1.0,1,1,0,10,9,1,224,224,0
0,37,1,0,1,0,0,0,1.0,0,1,1,1,1,0,14,3,14
0,33,0,0,4,0,0,4,1.0,1,1,0,4,2,1,3,3,0
0,54,1,0,9,0,0,11,1.0,1,0,0,9,9,0,131,131,0
0,23,1,0,9,0,0,2,1.0,1,0,0,9,5,0,73,73,0
1,26,1,0,4,0,0,2,227.0,1,1,0,4,6,1,228,228,0
0,41,1,0,1,0,0,0,0.0,0,0,0,1,1,0,2,2,0
0,52,2,0,1,0,0,0,1.0,1,0,0,1,1,0,2,2,0
0,43,2,0,4,0,0,13,1.0,1,1,0,4,1,1,231,52,231
0,52,1,0,4,0,0,0,1.0,1,0,0,4,3,0,15,15,0
0,28,2,0,1,0,0,1,3.0,1,0,0,1,2,0,4,4,0
0,30,1,0,9,0,2,11,1.0,0,1,1,9,4,1,7,2,7
0,28,2,0,5,0,0,1,0.0,1,0,0,5,3,0,7,7,0
0,22,1,0,4,0,0,0,1.0,1,0,0,4,6,0,2,2,0
0,30,1,0,2,0,0,4,0.0,1,0,0,2,2,0,1,1,0
0,25,3,0,4,0,0,4,0.0,1,0,0,4,4,0,2,2,0
0,31,2,0,8,0,0,0,1.0,1,1,0,8,5,1,43,32,43
0,37,2,0,2,0,0,0,1.0,1,1,0,2,1,1,19,36,0
0,32,1,0,9,1,0,14,1.0,1,0,0,9,8,0,2,2,0
0,26,1,0,8,1,0,4,1562.0,0,0,0,8,6,0,77,77,0
0,53,2,0,1,0,0,1,1.0,0,0,0,1,1,0,2,2,0
0,28,1,0,8,0,0,25,70.0,1,1,0,8,9,1,27,27,0
0,44,2,0,5,0,0,8,1.0,0,1,0,5,3,1,6,6,2
0,25,1,0,3,0,0,0,1.0,1,0,0,3,4,0,1,1,0
0,22,2,0,8,0,1,1,0.0,0,1,0,8,7,1,8,7,8
1,37,0,0,1,0,0,0,2.0,0,0,0,1,1,0,2,2,0
1,40,0,0,2,0,0,3,1.0,1,0,0,2,1,0,2,2,0
0,36,2,0,7,0,0,8,0.0,1,1,1,7,9,1,23,23,23
0,30,2,0,2,0,0,4,140.0,1,0,0,2,2,0,63,63,0
0,22,1,0,9,0,0,3,208.0,0,1,1,9,9,1,17,2,2
1,24,2,0,7,0,0,1,32.0,0,1,1,7,5,1,2,30,2
0,27,1,0,2,0,0,3,46.0,0,1,0,2,3,1,3,8,3
1,31,3,0,2,0,0,0,1.0,0,0,0,2,2,0,2,2,0
0,23,3,0,6,0,1,1,1.0,1,1,0,6,4,1,2,2,2
1,23,2,0,5,0,4,5,1.0,1,1,0,5,7,1,2,2,2
0,24,3,0,8,0,0,0,3.0,0,0,0,8,7,0,2,2,0
0,29,1,0,3,0,0,1,1.0,0,0,0,3,3,0,2,2,0
0,20,1,0,8,0,0,1,1.0,1,1,1,8,7,1,122,2,122
0,30,1,0,6,0,0,2,1.0,1,1,0,6,5,1,3,3,28
0,39,0,0,1,0,0,0,1.0,1,0,0,1,1,0,2,2,0
0,27,1,0,4,0,0,4,1.0,1,0,0,4,4,0,14,2,0
0,31,2,0,4,0,0,2,1016.0,0,1,0,4,3,0,12,12,12
1,37,1,0,1,0,0,2,0.0,1,0,0,1,1,0,15,2,0
0,20,1,0,8,0,0,0,1.0,1,0,0,8,6,0,4,4,0
0,22,3,0,7,0,1,0,0.0,1,0,0,7,6,0,8,3,0
1,52,1,0,1,0,0,0,1.0,1,0,0,1,1,0,2,2,0
1,23,1,0,4,0,0,0,1.0,1,1,0,4,4,1,5,5,0
1,48,1,0,2,0,0,0,1.0,1,0,0,2,3,0,3,3,0
0,66,1,0,6,0,0,8,562.0,1,1,0,6,1,1,781,0,0
0,25,2,0,5,0,0,0,1.0,1,0,0,5,4,0,6,1,0
0,27,2,0,6,0,0,0,1.0,1,1,1,6,7,1,243,3,243
0,30,1,0,7,0,0,11,0.0,1,1,0,7,6,1,2,2,2
0,22,1,0,10,1,1,3,1.0,0,1,0,10,7,1,3,2,3
1,22,2,0,3,0,0,1,1.0,1,0,0,3,4,0,2,2,0
0,35,1,0,10,0,0,2,1.0,1,0,0,10,8,0,262,0,0
0,32,2,0,4,0,0,2,232.0,1,0,0,4,4,0,41,41,0
1,41,1,0,3,0,0,2,1.0,0,0,0,3,1,0,2,2,0
1,25,0,0,2,0,0,0,1.0,1,0,0,2,3,0,2,2,0
0,44,1,0,7,0,0,24,31.0,0,0,0,7,3,0,119,119,0
0,52,1,0,6,0,0,3,1.0,1,1,0,6,2,1,43,26,43
0,43,1,0,1,0,0,0,1.0,1,0,0,1,1,0,42,42,0
0,37,2,0,1,0,0,3,4.0,1,0,0,1,1,0,4,4,0
0,28,1,0,4,0,0,3,100.0,0,1,1,4,3,1,4,4,4
0,70,2,0,1,0,0,1,13.0,0,0,0,1,1,0,14,14,0
0,54,2,0,2,0,0,6,322.0,1,1,0,2,1,1,3,2,3
0,46,2,0,4,0,0,3,1.0,1,0,0,4,2,0,15,15,0
0,21,1,0,9,0,0,0,1.0,0,1,0,9,7,1,2,2,2
0,26,1,0,8,0,0,1,1.0,0,1,1,8,6,1,12,3,12
0,38,3,0,1,0,0,3,82.0,1,1,0,1,1,1,3,3,3
0,34,2,0,4,0,0,5,1.0,0,0,0,4,4,0,2,2,0
0,19,1,0,5,0,0,1,48.0,1,1,0,5,7,1,11,49,11
0,34,1,0,4,0,0,5,1.0,0,0,0,4,4,0,2,2,0
0,23,2,0,5,0,0,0,1.0,1,1,0,5,5,1,2,2,0
0,34,1,0,4,0,0,5,1.0,1,1,0,4,2,1,4,4,61
0,30,1,0,1,0,0,2,83.0,1,0,0,1,2,0,84,84,0
0,39,1,0,3,0,0,6,1.0,1,1,0,3,1,1,4,4,0
0,24,0,0,3,0,0,0,1.0,1,0,0,3,5,0,2,2,0
0,33,2,0,3,0,0,1,93.0,0,1,1,3,2,1,2,1,2
0,58,2,0,3,0,0,2,1.0,1,0,0,3,1,0,3,3,0
1,21,1,0,6,0,0,0,0.0,0,0,0,6,7,0,2,2,0
0,21,1,0,5,0,0,1,36.0,1,1,0,5,7,0,12,37,12
0,23,1,0,8,0,1,4,11.0,0,1,0,8,5,1,5,12,5
0,62,2,0,1,0,0,0,0.0,1,0,0,1,1,0,2,3,0
0,27,1,1,8,0,1,4,707.0,0,1,0,8,10,1,2,2,2
0,37,2,0,3,0,0,5,1.0,1,0,0,3,1,0,12,12,0
0,43,0,0,2,0,0,2,1.0,1,1,0,2,1,1,9,9,0
1,32,1,0,1,0,0,5,2.0,1,0,0,1,1,0,1,1,0
0,23,3,0,3,0,0,0,1.0,1,0,0,3,5,0,15,47,0
0,27,1,0,1,0,0,0,1.0,0,0,0,1,2,0,2,2,0
0,44,2,0,1,0,0,0,1.0,0,1,0,1,1,1,2,2,2
0,28,2,0,3,0,0,3,1.0,0,1,0,3,3,1,1,2,0
1,42,2,0,2,0,0,0,3.0,1,0,0,2,1,0,20,2,0
0,24,0,0,10,1,0,9,1.0,1,1,1,10,10,1,6,6,45
0,27,1,0,2,0,0,0,0.0,1,0,0,2,3,0,18,18,0
0,20,1,0,10,0,0,0,1.0,1,1,0,10,9,1,5,2,5
1,51,2,0,1,0,0,0,1.0,0,0,0,1,1,0,2,2,0
0,56,2,0,1,0,0,0,1.0,0,0,0,1,1,0,2,2,0
0,29,1,0,9,0,0,7,1.0,1,0,0,9,6,0,2,2,0
0,20,1,0,9,0,0,0,1.0,1,1,0,9,8,1,16,211,16
0,53,2,0,1,0,0,6,176.0,1,0,0,1,1,0,175,175,0
0,27,2,0,5,0,0,8,1.0,1,0,0,5,3,0,240,69,0
0,24,1,0,9,1,0,2,1.0,1,1,1,9,9,1,54,20,54
0,53,2,0,6,0,0,36,7.0,1,1,0,6,9,1,2,34,0
0,28,2,0,3,0,0,2,1.0,0,1,1,3,4,1,2,2,0
0,45,1,0,1,0,0,1,1.0,1,0,0,1,1,0,0,0,0
0,21,3,0,5,1,0,3,22.0,1,1,0,5,6,0,25,23,0
1,36,1,0,7,0,0,0,1.0,1,0,0,7,5,0,13,13,0
1,25,2,0,4,0,0,2,2.0,0,1,0,4,4,1,10,2,54
1,23,3,0,3,0,0,1,1.0,0,1,0,3,4,0,11,1,11
0,28,2,0,5,0,0,1,4.0,1,0,0,5,3,0,2,2,0
1,21,1,0,8,0,0,0,1.0,1,1,0,8,7,1,1,2,1
0,36,2,0,3,0,0,0,1.0,0,0,0,3,3,0,2,2,0
0,24,1,0,3,0,0,0,1.0,1,0,0,3,4,0,2,2,0
0,28,1,0,6,0,0,3,862.0,1,1,0,6,4,1,33,33,33
0,30,0,0,2,0,0,1,1.0,1,1,0,2,2,1,2,2,0
0,29,1,0,1,0,0,0,1.0,1,0,0,1,2,0,2,2,0
1,30,2,0,6,0,0,0,1.0,0,0,0,6,2,0,5,5,0
0,51,3,0,1,0,0,1,2.0,0,0,0,1,1,0,2,2,0
0,33,0,0,1,0,0,3,94.0,1,0,0,1,1,0,4,4,0
1,25,1,0,6,0,0,2,86.0,1,0,0,6,5,0,28,3,0
0,32,1,0,9,1,0,12,1.0,1,1,1,9,7,1,3,3,0
0,23,1,0,6,0,1,1,1.0,1,0,0,6,5,0,2,2,0
0,47,1,0,3,0,0,3,0.0,1,0,0,3,2,0,2,1,0
1,32,3,0,3,0,0,1,80.0,1,1,0,3,3,1,3,3,0
0,37,2,0,1,0,0,0,0.0,1,0,0,1,1,0,3,20,0
0,19,1,0,10,2,0,2,1.0,1,1,0,10,9,1,2,2,0
0,27,3,0,8,0,0,0,1.0,0,0,0,8,6,0,3,3,0
0,39,0,0,1,0,0,0,1.0,0,0,0,1,1,0,2,2,0
1,21,2,0,6,0,2,0,0.0,1,0,0,6,8,0,1,1,0
0,69,2,0,1,0,0,0,1.0,0,0,0,1,1,0,2,2,0
0,21,2,0,6,0,0,2,1.0,1,0,0,6,6,0,4,3,0
0,26,1,0,10,0,1,6,0.0,0,1,0,10,10,1,3,5,3
0,22,2,0,4,0,0,0,3.0,1,0,0,4,5,0,1,1,0
1,23,1,0,5,0,0,0,1.0,1,1,0,5,5,1,24,2,24
0,49,1,0,5,0,0,3,1.0,1,0,0,5,4,0,6,5,0
0,29,1,0,4,0,1,2,1.0,0,1,0,4,3,0,2,52,2
1,60,2,0,1,0,0,0,1.0,0,0,0,1,1,0,2,2,0
